country,continent,gdp,child,life,totalpop,color
Afghanistan,Asia,1,1,1,1,3
Albania,Europe,1,1,1,1,2
Algeria,Africa,1,1,1,1,0
Angola,Africa,1,1,1,1,0
Antigua and Barbuda,America,1,1,1,1,1
Argentina,America,1,1,1,1,1
Armenia,Europe,1,1,1,1,2
Australia,Asia,1,1,1,1,3
Austria,Europe,1,1,1,1,2
Azerbaijan,Europe,1,1,1,1,2
Bahamas,America,1,1,1,1,1
Bahrain,Asia,1,1,1,1,3
Bangladesh,Asia,1,1,1,1,3
Barbados,America,1,1,1,1,1
Belarus,Europe,1,1,1,1,2
Belgium,Europe,1,1,1,1,2
Belize,America,1,1,1,1,1
Benin,Africa,1,1,1,1,0
Bhutan,Asia,1,1,1,1,3
Bolivia,America,1,1,1,1,1
Bosnia and Herzegovina,Europe,1,1,1,1,2
Botswana,Africa,1,1,1,1,0
Brazil,America,1,1,1,1,1
Brunei,Asia,1,1,1,1,3
Bulgaria,Europe,1,1,1,1,2
Burkina Faso,Africa,1,1,1,1,0
Burundi,Africa,1,1,1,1,0
Cambodia,Asia,1,1,1,1,3
Cameroon,Africa,1,1,1,1,0
Canada,America,1,1,1,1,1
Cape Verde,Africa,1,1,1,1,0
Chad,Africa,1,1,1,1,0
Chile,America,1,1,1,1,1
China,Asia,1,1,1,1,3
Colombia,America,1,1,1,1,1
Comoros,Africa,1,1,1,1,0
Congo, Dem. Rep.,Africa,1,1,1,1,0
Congo, Rep.,Africa,1,1,1,1,0
Costa Rica,America,1,1,1,1,1
Cote d'Ivoire,Africa,1,1,1,1,0
Croatia,Europe,0,1,1,1,2
Cuba,America,1,1,1,1,1
Cyprus,Europe,1,1,1,1,2
Denmark,Europe,1,1,1,1,2
Djibouti,Africa,1,1,1,1,0
Ecuador,America,1,1,1,1,1
Egypt,Africa,1,1,1,1,0
El Salvador,America,1,1,1,1,1
Equatorial Guinea,Africa,1,1,1,1,0
Eritrea,Africa,1,1,1,1,0
Estonia,Europe,1,1,1,1,2
Ethiopia,Africa,1,1,1,1,0
Fiji,Asia,1,1,1,1,3
Finland,Europe,1,1,1,1,2
France,Europe,1,1,1,1,2
Gabon,Africa,1,1,1,1,0
Gambia,Africa,1,1,1,1,0
Georgia,Europe,1,1,1,1,2
Germany,Europe,1,1,1,1,2
Ghana,Africa,1,1,1,1,0
Greece,Europe,1,1,1,1,2
Grenada,America,1,1,1,1,1
Guatemala,America,1,1,1,1,1
Guinea,Africa,1,1,1,1,0
Guinea-Bissau,Africa,1,1,1,1,0
Guyana,America,1,1,1,1,1
Haiti,America,1,1,1,1,1
Honduras,America,1,1,1,1,1
Hungary,Europe,1,1,1,1,2
Iceland,Europe,1,1,1,1,2
India,Asia,1,1,1,1,3
Indonesia,Asia,1,1,1,1,3
Iran,Asia,1,1,1,1,3
Iraq,Asia,1,1,1,1,3
Ireland,Europe,1,1,1,1,2
Israel,Asia,1,1,1,1,3
Italy,Europe,1,1,1,1,2
Jamaica,America,1,1,1,1,1
Japan,Asia,1,1,1,1,3
Jordan,Asia,1,1,1,1,3
Kazakhstan,Asia,1,1,1,1,3
Kenya,Africa,1,1,1,1,0
Kiribati,Asia,1,1,1,1,3
Kuwait,Asia,1,1,1,1,3
Latvia,Europe,1,1,1,1,2
Lebanon,Asia,1,1,1,1,3
Lesotho,Africa,1,1,1,1,0
Liberia,Africa,1,1,1,1,0
Libya,Africa,1,1,1,1,0
Lithuania,Europe,1,1,1,1,2
Luxembourg,Europe,1,1,1,1,2
Macedonia, FYR,Europe,1,1,1,1,2
Madagascar,Africa,1,1,1,1,0
Malawi,Africa,1,1,1,1,0
Malaysia,Asia,1,1,1,1,3
Maldives,Asia,1,1,1,1,3
Mali,Africa,1,1,1,1,0
Malta,Europe,1,1,1,1,2
Mauritania,Africa,1,1,1,1,0
Mauritius,Africa,1,1,1,1,0
Mexico,America,1,1,1,1,1
Micronesia, Fed. Sts.,Asia,1,1,1,1,3
Moldova,Europe,1,1,1,1,2
Mongolia,Asia,1,1,1,1,3
Montenegro,Europe,1,1,1,1,2
Morocco,Africa,1,1,1,1,0
Mozambique,Africa,1,1,1,1,0
Myanmar,Asia,1,1,1,1,3
Namibia,Africa,1,1,1,1,0
Nepal,Asia,1,1,1,1,3
Netherlands,Europe,1,1,1,1,2
New Zealand,Asia,1,1,1,1,3
Nicaragua,America,1,1,1,1,1
Niger,Africa,1,1,1,1,0
Nigeria,Africa,1,1,1,1,0
Norway,Europe,1,1,1,1,2
Oman,Asia,1,1,1,1,3
Pakistan,Asia,1,1,1,1,3
Panama,America,1,1,1,1,1
Papua New Guinea,Asia,1,1,1,1,3
Paraguay,America,1,1,1,1,1
Peru,America,1,1,1,1,1
Philippines,Asia,1,1,1,1,3
Poland,Europe,1,1,1,1,2
Portugal,Europe,1,1,1,1,2
Qatar,Asia,1,1,1,1,3
Romania,Europe,1,1,1,1,2
Russia,Europe,1,1,1,1,2
Rwanda,Africa,1,1,1,1,0
Samoa,Asia,1,1,1,1,3
Sao Tome and Principe,Africa,1,1,1,1,0
Saudi Arabia,Asia,1,1,1,1,3
Senegal,Africa,1,1,1,1,0
Serbia,Europe,1,1,1,1,2
Seychelles,Africa,1,1,1,1,0
Sierra Leone,Africa,1,1,1,1,0
Singapore,Asia,1,1,1,1,3
Slovak Republic,Europe,1,1,1,1,2
Slovenia,Europe,1,1,1,1,2
Solomon Islands,Asia,1,1,1,1,3
Somalia,Africa,1,1,1,1,0
South Africa,Africa,1,1,1,1,0
Spain,Europe,1,1,1,1,2
Sri Lanka,Asia,1,1,1,1,3
Sudan,Africa,1,1,1,1,0
Suriname,America,1,1,1,1,1
Swaziland,Africa,1,1,1,1,0
Sweden,Europe,1,1,1,1,2
Switzerland,Europe,1,1,1,1,2
Syria,Asia,1,1,1,1,3
Tajikistan,Asia,1,1,1,1,3
